TimeSlotID,Day,StartTime,EndTime,IsBreak,BatchYear
1,Monday,08:10,09:00,No,1
2,Monday,09:00,09:50,No,1
3,Monday,10:10,11:00,No,1
4,Monday,11:00,11:50,No,1
5,Monday,12:50,01:40,No,1
6,Monday,01:40,02:30,No,1
7,Monday,02:40,03:30,No,1
8,Tuesday,08:10,09:00,No,1
9,Tuesday,09:00,09:50,No,1
10,Tuesday,10:10,11:00,No,1
11,Tuesday,11:00,11:50,No,1
12,Tuesday,12:50,01:40,No,1
13,Tuesday,01:40,02:30,No,1
14,Tuesday,02:40,03:30,No,1
15,Wednesday,08:10,09:00,No,1
16,Wednesday,09:00,09:50,No,1
17,Wednesday,10:10,11:00,No,1
18,Wednesday,11:00,11:50,No,1
19,Wednesday,12:50,01:40,No,1
20,Wednesday,01:40,02:30,No,1
21,Wednesday,02:40,03:30,No,1
22,Thursday,08:10,09:00,No,1
23,Thursday,09:00,09:50,No,1
24,Thursday,10:10,11:00,No,1
25,Thursday,11:00,11:50,No,1
26,Thursday,12:50,01:40,No,1
27,Thursday,01:40,02:30,No,1
28,Thursday,02:40,03:30,No,1
29,Friday,08:10,09:00,No,1
30,Friday,09:00,09:50,No,1
31,Friday,10:10,11:00,No,1
32,Friday,11:00,11:50,No,1
33,Friday,12:50,01:40,No,1
34,Friday,01:40,02:30,No,1
35,Friday,02:40,03:30,No,1
36,Monday,09:50,10:10,Yes,1
37,Monday,11:50,12:50,Yes,1
38,Tuesday,09:50,10:10,Yes,1
39,Tuesday,11:50,12:50,Yes,1
40,Wednesday,11:50,12:50,Yes,1
41,Thursday,11:50,12:50,Yes,1
42,Friday,11:50,12:50,Yes,1
43,Wednesday,09:50,10:10,Yes,1
44,Thursday,09:50,10:10,Yes,1
45,Friday,09:50,10:10,Yes,1
46,Monday,08:10,09:00,No,2
47,Monday,09:00,09:50,No,2
48,Monday,09:50,10:40,No,2
49,Monday,11:00,11:50,No,2
50,Monday,11:50,12:40,No,2
51,Monday,01:40,02:30,No,2
52,Monday,02:40,03:30,No,2
53,Monday,10:40,11:00,Yes,2
54,Monday,12:40,01:40,Yes,2
55,Monday,02:30,02:40,Yes,2
56,Tuesday,08:10,09:00,No,2
57,Tuesday,09:00,09:50,No,2
58,Tuesday,09:50,10:40,No,2
59,Tuesday,11:00,11:50,No,2
60,Tuesday,11:50,12:40,No,2
61,Tuesday,01:40,02:30,No,2
62,Tuesday,02:40,03:30,No,2
63,Tuesday,10:40,11:00,Yes,2
64,Tuesday,12:40,01:40,Yes,2
65,Tuesday,02:30,02:40,Yes,2
66,Wednesday,08:10,09:00,No,2
67,Wednesday,09:00,09:50,No,2
68,Wednesday,09:50,10:40,No,2
69,Wednesday,11:00,11:50,No,2
70,Wednesday,11:50,12:40,No,2
71,Wednesday,01:40,02:30,No,2
72,Wednesday,02:40,03:30,No,2
73,Wednesday,10:40,11:00,Yes,2
74,Wednesday,12:40,01:40,Yes,2
75,Wednesday,02:30,02:40,Yes,2
76,Thursday,08:10,09:00,No,2
77,Thursday,09:00,09:50,No,2
78,Thursday,09:50,10:40,No,2
79,Thursday,11:00,11:50,No,2
80,Thursday,11:50,12:40,No,2
81,Thursday,01:40,02:30,No,2
82,Thursday,02:40,03:30,No,2
83,Thursday,10:40,11:00,Yes,2
84,Thursday,12:40,01:40,Yes,2
85,Thursday,02:30,02:40,Yes,2
86,Friday,08:10,09:00,No,2
87,Friday,09:00,09:50,No,2
88,Friday,09:50,10:40,No,2
89,Friday,11:00,11:50,No,2
90,Friday,11:50,12:40,No,2
91,Friday,01:40,02:30,No,2
92,Friday,02:40,03:30,No,2
93,Friday,10:40,11:00,Yes,2
94,Friday,12:40,01:40,Yes,2
95,Friday,02:30,02:40,Yes,2
,Monday,08:10,09:00,No,3
,Monday,09:00,09:50,No,3
,Monday,09:50,10:40,No,3
,Monday,11:00,11:50,No,3
,Monday,11:50,12:40,No,3
,Monday,01:40,02:30,No,3
,Monday,02:40,03:30,No,3
,Monday,10:40,11:00,Yes,3
,Monday,12:40,01:40,Yes,3
,Monday,02:30,02:40,Yes,3
,Tuesday,08:10,09:00,No,3
,Tuesday,09:00,09:50,No,3
,Tuesday,09:50,10:40,No,3
,Tuesday,11:00,11:50,No,3
,Tuesday,11:50,12:40,No,3
,Tuesday,01:40,02:30,No,3
,Tuesday,02:40,03:30,No,3
,Tuesday,10:40,11:00,Yes,3
,Tuesday,12:40,01:40,Yes,3
,Tuesday,02:30,02:40,Yes,3
,Wednesday,08:10,09:00,No,3
,Wednesday,09:00,09:50,No,3
,Wednesday,09:50,10:40,No,3
,Wednesday,11:00,11:50,No,3
,Wednesday,11:50,12:40,No,3
,Wednesday,01:40,02:30,No,3
,Wednesday,02:40,03:30,No,3
,Wednesday,10:40,11:00,Yes,3
,Wednesday,12:40,01:40,Yes,3
,Wednesday,02:30,02:40,Yes,3
,Thursday,08:10,09:00,No,3
,Thursday,09:00,09:50,No,3
,Thursday,09:50,10:40,No,3
,Thursday,11:00,11:50,No,3
,Thursday,11:50,12:40,No,3
,Thursday,01:40,02:30,No,3
,Thursday,02:40,03:30,No,3
,Thursday,10:40,11:00,Yes,3
,Thursday,12:40,01:40,Yes,3
,Thursday,02:30,02:40,Yes,3
,Friday,08:10,09:00,No,3
,Friday,09:00,09:50,No,3
,Friday,09:50,10:40,No,3
,Friday,11:00,11:50,No,3
,Friday,11:50,12:40,No,3
,Friday,01:40,02:30,No,3
,Friday,02:40,03:30,No,3
,Friday,10:40,11:00,Yes,3
,Friday,12:40,01:40,Yes,3
,Friday,02:30,02:40,Yes,3
,Monday,08:10,09:00,No,4
,Monday,09:00,09:50,No,4
,Monday,09:50,10:40,No,4
,Monday,11:00,11:50,No,4
,Monday,11:50,12:40,No,4
,Monday,01:40,02:30,No,4
,Monday,02:40,03:30,No,4
,Monday,10:40,11:00,Yes,4
,Monday,12:40,01:40,Yes,4
,Monday,02:30,02:40,Yes,4
,Tuesday,08:10,09:00,No,4
,Tuesday,09:00,09:50,No,4
,Tuesday,09:50,10:40,No,4
,Tuesday,11:00,11:50,No,4
,Tuesday,11:50,12:40,No,4
,Tuesday,01:40,02:30,No,4
,Tuesday,02:40,03:30,No,4
,Tuesday,10:40,11:00,Yes,4
,Tuesday,12:40,01:40,Yes,4
,Tuesday,02:30,02:40,Yes,4
,Wednesday,08:10,09:00,No,4
,Wednesday,09:00,09:50,No,4
,Wednesday,09:50,10:40,No,4
,Wednesday,11:00,11:50,No,4
,Wednesday,11:50,12:40,No,4
,Wednesday,01:40,02:30,No,4
,Wednesday,02:40,03:30,No,4
,Wednesday,10:40,11:00,Yes,4
,Wednesday,12:40,01:40,Yes,4
,Wednesday,02:30,02:40,Yes,4
,Thursday,08:10,09:00,No,4
,Thursday,09:00,09:50,No,4
,Thursday,09:50,10:40,No,4
,Thursday,11:00,11:50,No,4
,Thursday,11:50,12:40,No,4
,Thursday,01:40,02:30,No,4
,Thursday,02:40,03:30,No,4
,Thursday,10:40,11:00,Yes,4
,Thursday,12:40,01:40,Yes,4
,Thursday,02:30,02:40,Yes,4
,Friday,08:10,09:00,No,4
,Friday,09:00,09:50,No,4
,Friday,09:50,10:40,No,4
,Friday,11:00,11:50,No,4
,Friday,11:50,12:40,No,4
,Friday,01:40,02:30,No,4
,Friday,02:40,03:30,No,4
,Friday,10:40,11:00,Yes,4
,Friday,12:40,01:40,Yes,4
,Friday,02:30,02:40,Yes,4
